ï»¿CO_UNIDADE;CO_CNES;NU_CNPJ_MANTENEDORA;TP_PFPJ;NIVEL_DEP;NO_RAZAO_SOCIAL;NO_FANTASIA;NO_LOGRADOURO;NU_ENDERECO;NO_COMPLEMENTO;NO_BAIRRO;CO_CEP;CO_ATIVIDADE;CO_CLIENTELA;TP_UNIDADE;CO_MUNICIPIO_GESTOR;NU_LATITUDE;NU_LONGITUDE;CO_NATUREZA_JUR;CO_TIPO_UNIDADE;CO_TIPO_ESTABELECIMENTO;CO_ATIVIDADE_PRINCIPAL;STAFF_ACS_ENDEMIAS;STAFF_ADMIN_GESTAO_APOIO;STAFF_DIAG_LAB_IMAGEM;STAFF_ENFERMAGEM;STAFF_FARMACIA;STAFF_MEDICOS;STAFF_ODONTOLOGIA;STAFF_OUTROS;STAFF_OUTROS_SUPERIOR_SAUDE;STAFF_SERVICOS_GERAIS;STAFF_TRANSPORTE_URGENCIA;Latitude;Longitude;Precisao_Tipo
4,30677E+12;7280289;;1;1;CAIO RIBEIRO MICHELON;CAIO RIBEIRO MICHELON;AVENIDA EMANCIPACAO;255;SALA 01;CENTRO;92990000;4;1.0;22;430676;-29,997201;-51,308428;4000;;AMBULATORIO;1.0;0;0;0;0;0;0;1;0;0;0;0;-29,997201;-51,308428;GEOAPIFY | tentativa_1 | conf=1 | city=1 | street=1
4,30677E+12;6315623;;1;1;CLINICA DR PAULO MALANGA;CLINICA DR PAULO MALANGA;AVENIDA EMANCIPACAO;23;SALA 06;CENTRO;92990000;4;1.0;22;430676;-29,997184;-51,305977;4000;;AMBULATORIO;1.0;0;0;0;0;0;1;0;0;0;0;0;-29,997184;-51,305977;GEOAPIFY | tentativa_1 | conf=1 | city=1 | street=1
4,30677E+12;6299504;;3;1;LEVITTA CLINICA DE FISIOTERAPIA LTDA;LEVITTA CLINICA DE FISIOTERAPIA LTDA;AVENIDA EMANCIPACAO;23;SALA 06;CENTRO;92990000;4;1.0;36;430676;-29,997184;-51,305977;2062;;OUTROS;;0;0;0;0;0;0;0;0;0;0;0;-29,997184;-51,305977;GEOAPIFY | tentativa_1 | conf=1 | city=1 | street=1
4,30677E+12;6843182;;3;1;CLINICA DE FISIOTERAPIA SAUDE EM MOVIMENTO LTDA;CLINICA DE FISIOTERAPIA SAUDE EM MOVIMENTO LTDA;RUA PRIMAVERA;136;;CIDADE VERDE;92990000;4;1.0;36;430676;-29,998792;-51,304459;2062;;OUTROS;;0;0;0;0;0;0;0;0;0;0;0;-29,998792;-51,304459;GEOAPIFY | tentativa_1 | conf=0.7714285714285715 | city=1 | street=0.9
4,30676E+12;2967790;;3;1;COMERCIO DE MEDICAMENTOS BRAIR LTDA;SAO JOAO FARMACIAS;LAJEADO;360;FARMACIA;CENTRO;92990000;4;1.0;43;430676;-29,994879;-51,313181;2062;;FARMACIA;8.0;0;0;0;0;1;0;0;0;0;0;0;-29,994879;-51,313181;GEOAPIFY | tentativa_1 | conf=0.81 | city=1 | street=0.9
4,30677E+12;6438113;;3;1;JM CONSULTAS MEDICAS LTDA;JM CONSULTAS ELDORADO;RUA CHILE;245;TERREO;RESIDENCIAL;92990000;4;1.0;22;430676;-29,999612;-51,315631;2062;;OUTROS;;0;0;0;0;0;0;0;0;0;0;0;-29,999612;-51,315631;GEOAPIFY | tentativa_1 | conf=0.9 | city=1 | street=1
4,30677E+12;7482701;;3;1;S V PIMENTEL PROTETICO ME;SEP LABORATORIO DE PROTESE DENTARIA;AVENIDA A;536;;CIDADE VERDE;92990000;4;1.0;22;430676;-29,995053;-51,303288;2135;;OUTROS;;0;0;0;0;0;0;0;0;0;0;0;-29,995053;-51,303288;GEOAPIFY | tentativa_1 | conf=0.3471428571428572 | city=1 | street=1
4,30676E+12;264377;;3;1;PINZON ODONTOLOGIA EIRELI;PINZON ODONTOLOGIA;RUA ARGENTINA;564;;RESIDENCIAL;92990000;4;1.0;22;430676;-30,00263;-51,316868;2240;;AMBULATORIO;1.0;0;0;0;0;0;0;1;0;0;0;0;-30,00263;-51,316868;GEOAPIFY | tentativa_1 | conf=0.7714285714285715 | city=1 | street=0.9
4,30677E+12;6226043;92324706000127.0;3;3;PREFEITURA MUNICIPAL DE ELDORADO DO SUL;ESF PROGRESSO;RUA MILTON GUIMARAES GUERREIRO;130;;SANS SOUCI;92990000;4;1.0;2;430676;-30,0438324;-51,3126159;1244;;OUTROS;1.0;0;0;0;0;0;0;0;0;0;0;0;-30,0438324;-51,3126159;GEOAPIFY | tentativa_1 | conf=0.4137567567567568 | city=1 | street=0.9
4,30677E+12;9583696;;1;1;ALESSANDRA RAMIRES VIEIRA;ALESSANDRA RAMIRES VIEIRA;ESTRADA DA ARROZEIRA;530;SALA 04;CENTRO;92990000;4;1.0;22;430676;-29,999541;-51,312497;4000;;AMBULATORIO;1.0;0;0;0;0;0;0;1;0;0;0;0;-29,999541;-51,312497;GEOAPIFY | tentativa_1 | conf=1 | city=1 | street=1
4,30676E+12;2967812;;3;1;DA CUNHA BEDINOT COMERCIO DE MEDICAMENTOS LTDA;ASSOCIADAS MEDIANEIRA;ADAO DIONISIO BORTOWISKY;555;;CENTRO;92990000;4;1.0;43;430676;-29,9976311;-51,3063965;2062;;FARMACIA;8.0;0;0;0;0;0;0;0;0;0;0;0;-29,9976311;-51,3063965;GEOAPIFY | tentativa_1 | conf=0.2578125 | city=1 | street=None
4,30676E+12;412147;93021632009330.0;3;3;SECRETARIA DE AGRICULTURA PECUARIA E DESENVOLVIMENTO RURAL;CENTRO DE PESQUISA EM SAUDE ANIMAL ANIMAL IPVDF;ESTRADA DO CONDE;6000;;SANS SOUCI;92990000;4;3.0;50;430676;-30,05089095;-51,31281384;1023;;LABORATORIO DE SAUDE PUBLICA;19.0;0;0;0;0;0;2;0;0;0;0;0;-30,05089095;-51,31281384;GEOAPIFY | tentativa_1 | conf=0.8571428571428572 | city=1 | street=1
4,30676E+12;4029712;;3;1;DENTAL GOLDEN CLINICA ODONTOLOGICA LTDA;DENTAL GOLDEN;ERICO VERISSIMO;17;SALA 09;CENTRO;92990000;4;1.0;22;430676;-29,998038;-51,3053485;2062;;AMBULATORIO;1.0;0;0;0;0;0;0;1;0;0;0;0;-29,998038;-51,3053485;GEOAPIFY | tentativa_1 | conf=0.9 | city=1 | street=0.9
4,30676E+12;2224860;92324706000127.0;3;3;PREFEITURA MUNICIPAL DE ELDORADO DO SUL;UNIDADE DE PRONTO ATENDIMENTO 24 HORAS;RUA BATORI JOSE RODRIGUES DOS SANTOS;52;;CENTRO;92990000;4;1.0;73;430676;-29,9976311;-51,3063965;1244;;PRONTO ATENDIMENTO;7.0;0;18;6;116;1;77;3;1;2;2;0;-29,9976311;-51,3063965;GEOAPIFY | tentativa_1 | conf=0.22799999999999998 | city=1 | street=None
4,30676E+12;2948931;;3;1;LUNKES JARDIM LTDA;SORRIR MAIS;LAJEADO;405;SALA 01;CENTRO;92990000;4;1.0;22;430676;-29,99454;-51,312825;2062;;AMBULATORIO;1.0;0;0;0;0;0;0;1;0;0;0;0;-29,99454;-51,312825;GEOAPIFY | tentativa_1 | conf=0.9 | city=1 | street=0.9
4,30676E+12;264385;;3;1;COMERCIO DE MEDICAMENTOS BRAIR LTDA;SAO JOAO FARMACIAS;ERICO VERISSIMO;17;SALA 11 E 14;CENTRO;92990000;4;1.0;43;430676;-29,9976311;-51,3063965;2062;;FARMACIA;8.0;0;0;0;0;1;0;0;0;0;0;0;-29,9976311;-51,3063965;GEOAPIFY | tentativa_1 | conf=0.2090909090909091 | city=1 | street=None
4,30677E+12;9185917;92324706000127.0;3;3;PREFEITURA MUNICIPAL DE ELDORADO DO SUL RS;AMBULATORIO MUNICIPAL DE INFECTOLOGIA;AVENIDA EMANCIPACAO;911;;CENTRO;92990000;4;3.0;36;430676;-29,994701;-51,314738;1244;;AMBULATORIO;1.0;0;1;0;3;1;3;0;0;0;0;0;-29,994701;-51,314738;GEOAPIFY | tentativa_1 | conf=0.8084745762711865 | city=1 | street=0.9
