NU_ANO_CENSO;NO_MUNICIPIO;CO_MUNICIPIO;NO_ENTIDADE;CO_ENTIDADE;TP_DEPENDENCIA;TP_CATEGORIA_ESCOLA_PRIVADA;TP_LOCALIZACAO;DS_ENDERECO;NU_ENDERECO;DS_COMPLEMENTO;NO_BAIRRO;CO_CEP;TP_SITUACAO_FUNCIONAMENTO;Qtd_Prof;Qtd_Matri_Inf;Qtd_Matri_Fund;Qtd_Matri_Med;Qtd_Matri_Prof;Qtd_Matri_Eja;Qtd_Matri_Esp;Latitude;Longitude;Precisao_Tipo
2024;Lajeado;4311403;EEI DO SESC - SESQUINHO;43098223;4;1;1;RUA MARECHAL DEODORO;520;;CENTRO;95900124;1;7;120;0;0;0;0;2;-29,4690117;-51,9648682;ROOFTOP
2024;Lajeado;4311403;EEI EDUCATUS;43004598;4;1;1;RUA RUA PEDRO ALBINO MULLER;484;CASA;AMERICANO;95900566;1;6;122;0;0;0;0;0;-29,4571993;-51,9686733;ROOFTOP
2024;Lajeado;4311403;EMEF CAPITAO FELIPE DIETER;43082653;3;0;1;RUA WILIBALDO ECKHARDT;1650;;IMIGRANTE;95911520;1;11;22;270;0;0;0;6;-29,4195713;-52,0034188;ROOFTOP
2024;Lajeado;4311403;EMEF D PEDRO I;43083226;3;0;1;AVENIDA AVENIDA HENRIQUE STEIN FILHO;1060;;JARDIM DO CEDRO;95901260;1;20;80;1956;0;0;0;72;-29,4749972;-51,9865061;ROOFTOP
2024;Lajeado;4311403;EMEF FRANCISCO OSCAR KARNAL;43082718;3;0;1;RUA RUA BERNARDINO PINTO;440;LADO POSTO DE SAUDE;MORRO 25;95902084;1;19;122;1281;0;0;126;96;-29,4908003;-51,9884466;ROOFTOP
2024;Lajeado;4311403;EMEF GUIDO ARNOLDO LERMEN;43083668;3;0;1;RUA MANOEL BANDEIRA;550;;CENTENARIO;95910824;1;18;96;1224;0;0;0;40;-29,4311223;-52,0013546;ROOFTOP
2024;Lajeado;4311403;EMEF NOVA VIENA;43083579;3;0;1;RUA RUA PAULO EMILIO THIESEN;1336;PREDIO;OLARIAS;95910226;1;12;80;1266;0;0;0;26;-29,435554;-51,993396;ROOFTOP
2024;Lajeado;4311403;EMEF OSCAR KOEFENDER;43083609;3;0;1;RUA RUA URUGUAI;49;;NACOES;95902174;1;10;50;432;0;0;0;2;-29,4909002;-51,9953404;ROOFTOP
2024;Lajeado;4311403;EMEF PEDRO WELTER;43083633;3;0;1;RODOVIA RSC 453 KM 27;2020;;FLORESTA;95902476;1;10;44;333;0;0;0;4;-29,4716884;-52,005725;GEOMETRIC_CENTER
2024;Lajeado;4311403;EMEF SANTO ANDRE;43083072;3;0;1;RUA AFONSO CELSO;395;-;SANTO ANDRE;95912044;1;15;76;819;0;0;0;46;-29,4435277;-51,9732616;ROOFTOP
2024;Lajeado;4311403;EMEF SAO BENTO;43083331;3;0;1;RUA CARLOS SPOHR FILHO;6769;KM 3,5;SAO BENTO;95903300;1;14;116;1194;0;0;0;42;-29,4572509;-52,0236589;RANGE_INTERPOLATED
2024;Lajeado;4311403;EMEF SAO JOAO;43083102;3;0;1;RUA RUA CARLOS SPHOR FILHO;3320;;JARDIM BOTANICO;95901034;1;11;0;1221;0;0;0;42;-29,4607641;-51,9950636;ROOFTOP
2024;Lajeado;4311403;EMEF SAO JOSE DE CONVENTOS;43083293;3;0;1;RODOVIA RODOVIA ERS-421;4800;;CONVENTOS;95907500;1;12;48;648;0;0;0;16;-29,4309539;-52,0347977;GEOMETRIC_CENTER
2024;Lajeado;4311403;EMEF UNIVERSITARIO;43172296;3;0;1;RUA EDWINO HENRIQUE BECKER;452;;UNIVERSITARIO;95914700;1;12;46;684;0;0;0;16;-29,4337453;-51,966217;ROOFTOP
2024;Lajeado;4311403;EMEF VIDA NOVA;43083625;3;0;1;RUA PEDRO THEOBALDO BREIDENBACH;1931;;CONVENTOS;95906380;1;14;120;1659;0;0;0;54;-29,4324535;-52,0272909;ROOFTOP
